Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,period
all these things that i've done,the killers,60.0,0.206,0.71,118.276,0.00164,0.552,301747.0,5.07e-06,0.116,-6.925,0.0425,1.0,Hot Fuss,2004.0,pre_ai
all too well,taylor swift,62.0,0.314,0.631,93.04,0.0398,0.6,327893.0,0.000469,0.128,-7.783,0.0255,1.0,Red (Deluxe Edition),2012.0,pre_ai
all you wanted,michelle branch,31.0,0.652,0.72,96.103,0.00466,0.499,217680.0,0.00303,0.122,-9.101,0.0286,1.0,The Spirit Room [Deluxe Edition],2018.0,post_ai
all your fault,big sean,46.0,0.499,0.739,100.008,0.332,0.806,224387.0,0.0,0.23,-4.405,0.25,0.0,Dark Sky Paradise (Deluxe),2015.0,post_ai
all your life,the band perry,4.0,0.455,0.521,131.937,0.227,0.536,231933.0,0.0,0.165,-5.373,0.0261,1.0,The Band Perry,2011.0,pre_ai
almost,bowling for soup,44.0,0.642,0.878,139.979,0.000835,0.544,206200.0,0.0,0.182,-4.016,0.0367,1.0,A Hangover You Don't Deserve,2005.0,pre_ai
almost home,craig morgan,62.0,0.237,0.481,75.974,0.302,0.525,289000.0,0.0,0.121,-6.715,0.0251,1.0,I Love It,2002.0,pre_ai
almost slipped,meek mill,58.0,0.46,0.651,164.213,0.246,0.49,246793.0,0.0,0.233,-6.24,0.251,1.0,Championships,2018.0,post_ai
alone together,fall out boy,30.0,0.654,0.911,90.02,0.00151,0.555,203413.0,1.66e-05,0.201,-3.703,0.055,1.0,Save Rock And Roll,2013.0,pre_ai
alone with you,jake owen,54.0,0.336,0.761,108.999,0.221,0.646,210973.0,0.0,0.109,-3.991,0.0267,1.0,Barefoot Blue Jean Night,2011.0,pre_ai
already gone,kelly clarkson,1.0,0.294,0.872,78.139,0.217,0.209,281560.0,0.0,0.0768,-2.996,0.0757,1.0,All I Ever Wanted,2009.0,pre_ai
already gone,sugarland,36.0,0.356,0.596,154.675,0.235,0.49,275880.0,2.64e-05,0.166,-5.734,0.0277,1.0,Love On The Inside,2008.0,pre_ai
alright,kendrick lamar,26.0,0.558,0.766,110.034,0.0742,0.796,219333.0,0.0,0.0827,-5.974,0.238,1.0,To Pimp A Butterfly,2015.0,post_ai
always on time,ja rule,35.0,0.826,0.688,96.673,0.112,0.845,242813.0,0.0,0.556,-3.542,0.155,0.0,Exodus,2001.0,pre_ai
always the love songs,eli young band,2.0,0.384,0.78,149.974,0.307,0.479,222000.0,2.08e-05,0.415,-3.424,0.0293,1.0,Jet Black & Jealous,2008.0,pre_ai
alyssa lies,jason michael carroll,35.0,0.384,0.612,75.54,0.233,0.49,258343.0,0.00337,0.129,-5.091,0.0277,1.0,Numbers,2006.0,pre_ai
am i the only one,dierks bentley,52.0,0.88,0.878,165.972,0.29,0.579,191253.0,0.0,0.789,-5.396,0.145,1.0,Home,2012.0,pre_ai
am to pm,christina milian,56.0,0.861,0.876,104.985,0.145,0.87,231307.0,1.55e-05,0.841,-2.999,0.117,0.0,Christina Milian,2001.0,pre_ai
amazing,josh kelley,21.0,0.697,0.748,85.186,0.0374,0.428,259104.0,0.0,0.169,-7.482,0.0708,1.0,Backwoods Deluxe,2003.0,pre_ai
america's suitehearts,fall out boy,52.0,0.716,0.931,160.015,0.00933,0.479,214133.0,0.0,0.127,-3.429,0.0469,1.0,Folie à Deux,2008.0,pre_ai
american baby,dave matthews band,48.0,0.856,0.822,120.741,0.00192,0.692,275053.0,0.00206,0.0819,-4.315,0.0349,1.0,Stand Up,2005.0,pre_ai
american boy,estelle,27.0,0.512,0.729,117.932,0.171,0.727,284733.0,0.0,0.07,-2.99,0.326,1.0,Shine,2008.0,pre_ai
american country love song,jake owen,64.0,0.329,0.891,104.031,0.0457,0.529,199747.0,0.0,0.0942,-4.36,0.043,1.0,American Love,2016.0,post_ai
american honey,lady antebellum,32.0,0.121,0.684,85.997,0.508,0.588,224867.0,0.0,0.141,-5.154,0.0288,1.0,Need You Now,2010.0,pre_ai
american idiot,green day,63.0,0.81,0.984,186.081,2.53e-05,0.381,174320.0,6.91e-05,0.27,-2.42,0.0638,1.0,American Idiot (Deluxe),2004.0,pre_ai
american kids,kenny chesney,70.0,0.867,0.589,170.097,0.0476,0.733,182960.0,5.85e-06,0.0366,-7.37,0.1,1.0,The Big Revival,2014.0,pre_ai
american life,madonna,45.0,0.706,0.583,101.96,0.0438,0.787,297840.0,0.0,0.282,-7.16,0.176,0.0,American Life,2003.0,pre_ai
american pie,madonna,60.0,0.523,0.674,124.001,0.316,0.634,271853.0,0.0,0.139,-9.75,0.037,0.0,Music,2000.0,pre_ai
american ride,toby keith,59.0,0.794,0.907,174.085,0.0829,0.519,165693.0,1.57e-06,0.325,-2.681,0.0665,1.0,American Ride,2009.0,pre_ai
american saturday night,brad paisley,52.0,0.733,0.938,157.795,0.0721,0.487,274200.0,2.63e-05,0.522,-5.466,0.0533,1.0,American Saturday Night,2009.0,pre_ai
an honest mistake,the bravery,59.0,0.613,0.882,140.054,3.76e-06,0.454,219707.0,0.663,0.107,-4.254,0.0294,0.0,The Bravery,2005.0,pre_ai
anaconda,nicki minaj,50.0,0.651,0.606,129.999,0.0697,0.964,260240.0,8.72e-06,0.269,-6.259,0.192,1.0,The Pinkprint (Deluxe Edition),2014.0,pre_ai
and i,ciara,1.0,0.437,0.389,122.219,0.255,0.691,233840.0,0.0,0.0981,-10.125,0.0653,1.0,Goodies,2005.0,pre_ai
angel,lionel richie,31.0,0.323,0.634,124.952,0.0181,0.561,236098.0,0.0,0.0731,-7.155,0.0361,1.0,Tuskegee (Deluxe Version),2000.0,pre_ai
angel,shaggy,12.0,0.826,0.763,85.299,0.121,0.806,235133.0,0.0,0.0434,-2.924,0.0954,1.0,Hot Shot,2001.0,pre_ai
angel eyes,love and theft,64.0,0.966,0.696,108.015,0.0134,0.656,186627.0,0.0,0.0753,-5.917,0.0261,1.0,Love and Theft,2011.0,pre_ai
angel in blue jeans,train,58.0,0.688,0.817,115.036,0.0151,0.61,205973.0,9.09e-06,0.0998,-4.775,0.0331,1.0,Bulletproof Picasso,2014.0,pre_ai
angelito,don omar,44.0,0.311,0.661,156.005,0.2,0.63,284933.0,0.0,0.17,-5.11,0.045,0.0,King Of Kings,2006.0,pre_ai
angels in waiting,tammy cochran,10.0,0.325,0.295,175.336,0.821,0.372,214960.0,0.0,0.15,-6.604,0.0278,1.0,30 Something and Single,2001.0,pre_ai
angry all the time,tim mcgraw,38.0,0.363,0.498,127.604,0.195,0.545,270107.0,0.0,0.169,-7.286,0.0266,1.0,Set This Circus Down,2001.0,pre_ai
animal,neon trees,27.0,0.74,0.833,148.039,0.000346,0.482,212293.0,0.0,0.365,-5.611,0.0449,1.0,Habits,2010.0,pre_ai
animal i have become,three days grace,28.0,0.494,0.846,122.03,0.000861,0.551,231427.0,0.0,0.126,-3.751,0.0342,1.0,Life Starts Now,2006.0,pre_ai
animals,maroon 5,30.0,0.328,0.742,189.868,0.000185,0.279,231013.0,0.0,0.593,-6.46,0.0898,0.0,V (Deluxe),2014.0,pre_ai
animals,nickelback,48.0,0.848,0.955,154.014,0.000704,0.599,186587.0,0.0163,0.286,-3.076,0.0506,1.0,All The Right Reasons,2005.0,pre_ai
another side of you,joe nichols,1.0,0.653,0.662,94.981,0.412,0.542,178267.0,0.108,0.439,-8.17,0.0319,1.0,Real Things,2007.0,pre_ai
another try,josh turner,45.0,0.231,0.493,123.251,0.517,0.504,225787.0,0.000342,0.0962,-7.817,0.0283,1.0,Everything Is Fine,2007.0,pre_ai
another way to die,disturbed,54.0,0.315,0.967,112.017,8.46e-05,0.621,253387.0,0.00612,0.12,-2.35,0.0692,1.0,Asylum (Deluxe Edition),2010.0,pre_ai
anything but mine,kenny chesney,41.0,0.348,0.537,147.995,0.0245,0.501,324467.0,0.0,0.064,-8.398,0.0328,1.0,When The Sun Goes Down (Deluxe Version),2004.0,pre_ai
anything could happen,ellie goulding,2.0,0.413,0.788,103.012,0.416,0.7,286547.0,0.0,0.106,-4.052,0.0294,1.0,Halcyon (Deluxe Edition),2012.0,pre_ai
anything goes,randy houser,7.0,0.296,0.614,139.753,0.629,0.489,184173.0,0.000736,0.106,-4.712,0.0337,1.0,Anything Goes,2008.0,pre_ai
anyway,martina mcbride,10.0,0.263,0.603,137.009,0.0957,0.42,245600.0,9.85e-05,0.978,-4.435,0.0289,1.0,Martina McBride: Live In Concert,2007.0,pre_ai
anywhere with you,jake owen,59.0,0.598,0.936,151.988,0.0418,0.475,209587.0,0.0,0.0873,-2.545,0.0413,1.0,Barefoot Blue Jean Night,2011.0,pre_ai
apologize,timbaland,25.0,0.073,0.614,118.019,0.0325,0.654,184400.0,0.0,0.0963,-6.033,0.03,1.0,Shock Value,2007.0,pre_ai
apparently,j. cole,70.0,0.534,0.543,133.982,0.564,0.801,293040.0,0.0,0.116,-9.236,0.091,1.0,2014 Forest Hills Drive,2014.0,pre_ai
applause,lady gaga,36.0,0.738,0.78,139.945,0.0265,0.669,212333.0,1.63e-06,0.143,-4.287,0.053,0.0,ARTPOP,2013.0,pre_ai
are you gonna be my girl,jet,28.0,0.537,0.953,105.046,0.00148,0.613,213800.0,0.000582,0.152,-3.435,0.0855,1.0,Get Born (Deluxe Edition),2003.0,pre_ai
are you gonna kiss me or not,thompson square,64.0,0.613,0.701,151.948,0.039,0.485,184920.0,0.0,0.0977,-3.807,0.0288,1.0,Thompson Square,2010.0,pre_ai
are you happy now?,michelle branch,34.0,0.717,0.827,179.566,0.0039,0.484,230760.0,0.00143,0.0876,-5.324,0.046,1.0,Hotel Paper [Deluxe Edition],2003.0,pre_ai
