Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,RiaaStatus,Label,period
heavy heart,meek mill,47.0,0.351,0.695,73.031,0.239,0.472,250467.0,0.0,0.0942,-5.008,0.443,0,Wins & Losses (Deluxe),2017.0,,,post_ai
"hey look ma, i made it",panic! at the disco,81.0,0.58,0.8330000000000001,107.936,0.0137,0.577,169667.0,0.0,0.121,-3.337,0.0695,1,Pray for the Wicked,2018.0,Gold,Fueled by Ramen,post_ai
high hopes,panic! at the disco,87.0,0.6810000000000002,0.904,82.014,0.193,0.579,190947.0,0.0,0.064,-2.729,0.061799999999999994,1,Pray for the Wicked,2018.0,3x Multi-Platinum,Fueled by Ramen,post_ai
hittas,lil wayne,57.0,0.667,0.765,144.046,0.276,0.788,223617.0,0.0,0.216,-3.93,0.439,1,Tha Carter V,2018.0,,,post_ai
hold up,beyonce,77.0,0.552,0.39699999999999996,80.744,0.745,0.524,221093.0,0.0,0.521,-11.935999999999998,0.40499999999999997,1,Lemonade,2016.0,1x Platinum,Columbia,post_ai
hometown girl,josh turner,70.0,0.445,0.79,155.934,0.263,0.505,215080.0,0.0884,0.123,-5.442,0.035,0,Deep South,2016.0,1x Platinum,Mca Records Nashville,post_ai
humble.,kendrick lamar,84.0,0.421,0.621,150.011,0.000282,0.9080000000000001,177000.0,5.39e-05,0.0958,-6.638,0.102,0,DAMN.,2017.0,7x Multi-Platinum,Tde / Aftermath / Interscope,post_ai
hurt feelings,mac miller,73.0,0.325,0.462,157.655,0.343,0.69,245640.0,0.00218,0.113,-8.054,0.13,1,Swimming,2018.0,,,post_ai
hype,drake,50.0,0.236,0.62,129.959,0.0226,0.79,209413.0,0.0,0.365,-8.278,0.195,1,Views,2016.0,1x Platinum,Cash Money / Young Money / Republic Records,post_ai
i lived it,blake shelton,64.0,0.392,0.571,80.981,0.476,0.557,219600.0,0.00114,0.101,-8.106,0.0281,1,Texoma Shore,2017.0,,,post_ai
i'll name the dogs,blake shelton,65.0,0.763,0.8700000000000001,83.392,0.171,0.348,183640.0,4.4e-06,0.202,-5.86,0.137,1,Texoma Shore,2017.0,Gold,Warner Bros Nashville,post_ai
i'm upset,drake,75.0,0.492,0.586,150.001,0.279,0.899,214467.0,0.0,0.0836,-7.866,0.344,0,Scorpion,2018.0,,,post_ai
ice melts,drake,63.0,0.631,0.558,124.949,0.0754,0.813,250770.0,0.0,0.385,-7.559,0.337,1,More Life,2017.0,,,post_ai
if i told you,darius rucker,66.0,0.308,0.64,84.029,0.344,0.532,212320.0,0.0,0.361,-6.684,0.0314,1,When Was The Last Time,2016.0,1x Platinum,Capitol Nashville,post_ai
if the boot fits,granger smith,55.0,0.8850000000000001,0.928,162.069,0.0252,0.528,170093.0,2.88e-06,0.0467,-5.742999999999999,0.0456,1,Remington,2016.0,,,post_ai
